date,currency_code,euro_rate,inverse
20220321,THB,37.0988,0.027
20220321,USD,1.1057,0.9044
20220321,AUD,1.4977,0.6677
20220321,HKD,8.6523,0.1156
20220321,CAD,1.3942,0.7173
20220321,NZD,1.604,0.6234
20220321,SGD,1.4993,0.667
20220321,HUF,374.4514,0.0027
20220321,CHF,1.0289,0.9719
20220321,GBP,0.8408,1.1893
20220321,UAH,33.9826,0.0294
20220321,JPY,131.8518,0.0076
20220321,CZK,24.674,0.0405
20220321,DKK,7.4409,0.1344
20220321,ISK,142.5014,0.007
20220321,NOK,9.6803,0.1033
20220321,SEK,10.4289,0.0959
20220321,HRK,7.5706,0.1321
20220321,RON,4.9473,0.2021
20220321,BGN,1.9558,0.5113
20220321,TRY,16.4206,0.0609
20220321,ILS,3.5792,0.2794
20220321,CLP,888.4892,0.0011
20220321,PHP,57.9383,0.0173
20220321,MXN,22.5084,0.0444
20220321,ZAR,16.5305,0.0605
20220321,BRL,5.5552,0.18
20220321,MYR,4.6493,0.2151
20220321,IDR,15855.8011,0.0001
20220321,INR,84.1854,0.0119
20220321,KRW,1343.1597,0.0007
20220321,CNY,7.0286,0.1423
20220321,XDR,0.797,1.2547
20220321,PLN,4.693,0.2131
